game_date,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,matchup,opponent,shot_id,win.loss
1/1/10,Jump Shot,Jump Shot,436,20900476,33.9133,-125,131,-118.3948,5,4,0,2009-10,13,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15610,1
1/1/10,Running Jump Shot,Jump Shot,281,20900476,33.9963,-8,48,-118.2778,9,3,0,2009-10,11,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15599,1
1/1/10,Step Back Jump shot,Jump Shot,434,20900476,33.8573,-8,187,-118.2778,5,4,0,2009-10,51,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15609,1
1/1/10,Jump Shot,Jump Shot,174,20900476,33.9803,70,64,-118.1998,4,2,0,2009-10,53,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15594,1
1/1/10,Jump Shot,Jump Shot,343,20900476,33.8303,-158,214,-118.4278,1,3,0,2009-10,58,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15605,1
1/1/10,Jump Shot,Jump Shot,306,20900476,33.9313,-131,113,-118.4008,6,3,0,2009-10,15,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15600,1
1/1/10,Jump Shot,Jump Shot,388,20900476,33.8543,-81,190,-118.3508,10,4,0,2009-10,11,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15607,1
1/1/10,Jump Shot,Jump Shot,142,20900476,33.8653,105,179,-118.1648,7,2,0,2009-10,6,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15593,1
1/1/10,Jump Shot,Jump Shot,179,20900476,33.8003,88,244,-118.1818,4,2,0,2009-10,27,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15595,1
1/1/10,Jump Shot,Jump Shot,258,20900476,33.7783,23,266,-118.2468,11,3,0,2009-10,8,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15598,1
1/1/12,Jump Shot,Jump Shot,492,21100063,33.8393,84,205,-118.1858,6,4,0,2011-12,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18193,0
1/1/12,Jump Shot,Jump Shot,492,21100063,33.8393,84,205,-118.1858,6,4,0,2011-12,52,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18193,1
1/1/12,Jump Shot,Jump Shot,9,21100063,33.8793,200,165,-118.0698,10,1,0,2011-12,58,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18173,0
1/1/12,Jump Shot,Jump Shot,9,21100063,33.8793,200,165,-118.0698,10,1,0,2011-12,58,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18173,1
1/1/12,Jump Shot,Jump Shot,478,21100063,33.7903,-18,254,-118.2878,7,4,0,2011-12,45,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18191,0
1/1/12,Jump Shot,Jump Shot,478,21100063,33.7903,-18,254,-118.2878,7,4,0,2011-12,45,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18191,1
1/1/12,Jump Shot,Jump Shot,343,21100063,33.9253,29,119,-118.2408,8,3,0,2011-12,33,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18186,0
1/1/12,Jump Shot,Jump Shot,343,21100063,33.9253,29,119,-118.2408,8,3,0,2011-12,33,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18186,1
1/1/12,Jump Shot,Jump Shot,538,21100063,33.8223,-112,222,-118.3818,2,4,0,2011-12,13,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18198,0
1/1/12,Jump Shot,Jump Shot,538,21100063,33.8223,-112,222,-118.3818,2,4,0,2011-12,13,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18198,1
1/1/12,Jump Shot,Jump Shot,378,21100063,33.8363,-7,208,-118.2768,5,3,0,2011-12,36,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18188,0
1/1/12,Jump Shot,Jump Shot,378,21100063,33.8363,-7,208,-118.2768,5,3,0,2011-12,36,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18188,1
1/1/12,Jump Shot,Jump Shot,522,21100063,34.0193,-198,25,-118.4678,3,4,0,2011-12,44,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18195,0
1/1/12,Jump Shot,Jump Shot,522,21100063,34.0193,-198,25,-118.4678,3,4,0,2011-12,44,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18195,1
1/1/12,Jump Shot,Jump Shot,569,21100063,33.8663,-188,178,-118.4578,0,4,0,2011-12,23,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18200,0
1/1/12,Jump Shot,Jump Shot,569,21100063,33.8663,-188,178,-118.4578,0,4,0,2011-12,23,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18200,1
1/1/12,Turnaround Jump Shot,Jump Shot,360,21100063,33.9283,-45,116,-118.3148,7,3,0,2011-12,9,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18187,0
1/1/12,Turnaround Jump Shot,Jump Shot,360,21100063,33.9283,-45,116,-118.3148,7,3,0,2011-12,9,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18187,1
1/1/12,Layup Shot,Layup,397,21100063,34.0293,-2,15,-118.2718,2,3,0,2011-12,47,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18190,0
1/1/12,Layup Shot,Layup,397,21100063,34.0293,-2,15,-118.2718,2,3,0,2011-12,47,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18190,1
1/1/12,Jump Shot,Jump Shot,390,21100063,34.0033,61,41,-118.2088,4,3,0,2011-12,3,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18189,0
1/1/12,Jump Shot,Jump Shot,390,21100063,34.0033,61,41,-118.2088,4,3,0,2011-12,3,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18189,1
1/1/12,Jump Shot,Jump Shot,234,21100063,33.8503,163,194,-118.1068,3,2,0,2011-12,59,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18179,0
1/1/12,Jump Shot,Jump Shot,234,21100063,33.8503,163,194,-118.1068,3,2,0,2011-12,59,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18179,1
1/1/12,Fadeaway Jump Shot,Jump Shot,102,21100063,33.9753,162,69,-118.1078,3,1,0,2011-12,53,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18176,0
1/1/12,Fadeaway Jump Shot,Jump Shot,102,21100063,33.9753,162,69,-118.1078,3,1,0,2011-12,53,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18176,1
1/1/12,Jump Shot,Jump Shot,529,21100063,33.8363,-54,208,-118.3238,3,4,0,2011-12,12,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18196,0
1/1/12,Jump Shot,Jump Shot,529,21100063,33.8363,-54,208,-118.3238,3,4,0,2011-12,12,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18196,1
1/1/12,Jump Shot,Jump Shot,323,21100063,33.9323,-59,112,-118.3288,10,3,0,2011-12,9,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18184,0
1/1/12,Jump Shot,Jump Shot,323,21100063,33.9323,-59,112,-118.3288,10,3,0,2011-12,9,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18184,1
1/1/12,Jump Shot,Jump Shot,551,21100063,33.7973,-48,247,-118.3178,1,4,0,2011-12,7,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18199,0
1/1/12,Jump Shot,Jump Shot,551,21100063,33.7973,-48,247,-118.3178,1,4,0,2011-12,7,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18199,1
1/1/12,Jump Shot,Jump Shot,71,21100063,33.9553,10,89,-118.2598,6,1,0,2011-12,4,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18175,0
1/1/12,Jump Shot,Jump Shot,71,21100063,33.9553,10,89,-118.2598,6,1,0,2011-12,4,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18175,1
1/1/12,Jump Shot,Jump Shot,268,21100063,33.8713,193,173,-118.0768,2,2,0,2011-12,4,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18181,0
1/1/12,Jump Shot,Jump Shot,268,21100063,33.8713,193,173,-118.0768,2,2,0,2011-12,4,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18181,1
1/1/12,Running Jump Shot,Jump Shot,486,21100063,34.0023,-13,42,-118.2828,7,4,0,2011-12,8,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18192,0
1/1/12,Running Jump Shot,Jump Shot,486,21100063,34.0023,-13,42,-118.2828,7,4,0,2011-12,8,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18192,1
1/1/12,Jump Shot,Jump Shot,338,21100063,34.0293,130,15,-118.1398,9,3,0,2011-12,3,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18185,0
1/1/12,Jump Shot,Jump Shot,338,21100063,34.0293,130,15,-118.1398,9,3,0,2011-12,3,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18185,1
1/1/12,Jump Shot,Jump Shot,260,21100063,33.9283,-171,116,-118.4408,2,2,0,2011-12,42,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18180,0
1/1/12,Jump Shot,Jump Shot,260,21100063,33.9283,-171,116,-118.4408,2,2,0,2011-12,42,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18180,1
1/1/12,Running Bank shot,Bank Shot,19,21100063,34.0083,-75,36,-118.3448,10,1,0,2011-12,24,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18174,0
1/1/12,Running Bank shot,Bank Shot,19,21100063,34.0083,-75,36,-118.3448,10,1,0,2011-12,24,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18174,1
1/1/12,Jump Shot,Jump Shot,282,21100063,33.9533,-62,91,-118.3318,0,2,0,2011-12,46,11,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18182,0
1/1/12,Jump Shot,Jump Shot,282,21100063,33.9533,-62,91,-118.3318,0,2,0,2011-12,46,11,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL @ DEN,DEN,18182,1
1/1/13,Jump Shot,Jump Shot,560,21200463,33.7843,84,260,-118.1858,0,4,0,2012-13,8,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20084,1
1/1/13,Jump Shot,Jump Shot,560,21200463,33.7843,84,260,-118.1858,0,4,0,2012-13,8,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20084,0
1/1/13,Jump Shot,Jump Shot,15,21200463,33.8273,105,217,-118.1648,9,1,0,2012-13,36,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20058,1
1/1/13,Jump Shot,Jump Shot,15,21200463,33.8273,105,217,-118.1648,9,1,0,2012-13,36,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20058,0
1/1/13,Reverse Slam Dunk Shot,Dunk,94,21200463,34.0403,0,4,-118.2698,2,1,0,2012-13,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20061,1
1/1/13,Reverse Slam Dunk Shot,Dunk,94,21200463,34.0403,0,4,-118.2698,2,1,0,2012-13,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20061,0
1/1/13,Jump Shot,Jump Shot,3,21200463,34.0603,124,-16,-118.1458,11,1,0,2012-13,39,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20056,1
1/1/13,Jump Shot,Jump Shot,3,21200463,34.0603,124,-16,-118.1458,11,1,0,2012-13,39,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20056,0
1/1/13,Jump Shot,Jump Shot,415,21200463,34.0433,154,1,-118.1158,0,3,0,2012-13,0,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20076,1
1/1/13,Jump Shot,Jump Shot,415,21200463,34.0433,154,1,-118.1158,0,3,0,2012-13,0,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20076,0
1/1/13,Jump Shot,Jump Shot,413,21200463,34.0133,6,31,-118.2638,0,3,0,2012-13,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20075,1
1/1/13,Jump Shot,Jump Shot,413,21200463,34.0133,6,31,-118.2638,0,3,0,2012-13,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20075,0
1/1/13,Jump Shot,Jump Shot,365,21200463,33.9693,-209,75,-118.4788,3,3,0,2012-13,7,22,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20073,1
1/1/13,Jump Shot,Jump Shot,365,21200463,33.9693,-209,75,-118.4788,3,3,0,2012-13,7,22,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20073,0
1/1/13,Jump Shot,Jump Shot,445,21200463,34.0243,-64,20,-118.3338,9,4,0,2012-13,33,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20077,1
1/1/13,Jump Shot,Jump Shot,445,21200463,34.0243,-64,20,-118.3338,9,4,0,2012-13,33,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20077,0
1/1/13,Jump Bank Shot,Jump Shot,118,21200463,33.9783,129,66,-118.1408,0,1,0,2012-13,37,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20062,1
1/1/13,Jump Bank Shot,Jump Shot,118,21200463,33.9783,129,66,-118.1408,0,1,0,2012-13,37,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20062,0
1/1/13,Jump Shot,Jump Shot,340,21200463,33.8773,9,167,-118.2608,6,3,0,2012-13,18,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20071,1
1/1/13,Jump Shot,Jump Shot,340,21200463,33.8773,9,167,-118.2608,6,3,0,2012-13,18,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20071,0
1/1/13,Driving Finger Roll Layup Shot,Layup,8,21200463,34.0443,15,0,-118.2548,10,1,0,2012-13,51,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20057,1
1/1/13,Driving Finger Roll Layup Shot,Layup,8,21200463,34.0443,15,0,-118.2548,10,1,0,2012-13,51,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20057,0
1/1/13,Driving Layup Shot,Layup,80,21200463,34.0333,-4,11,-118.2738,4,1,0,2012-13,4,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20059,1
1/1/13,Driving Layup Shot,Layup,80,21200463,34.0333,-4,11,-118.2738,4,1,0,2012-13,4,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20059,0
1/1/13,Jump Shot,Jump Shot,333,21200463,33.9093,-5,135,-118.2748,7,3,0,2012-13,5,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20070,1
1/1/13,Jump Shot,Jump Shot,333,21200463,33.9093,-5,135,-118.2748,7,3,0,2012-13,5,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20070,0
1/1/13,Jump Bank Shot,Jump Shot,492,21200463,34.0003,78,44,-118.1918,5,4,0,2012-13,45,8,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20079,1
1/1/13,Jump Bank Shot,Jump Shot,492,21200463,34.0003,78,44,-118.1918,5,4,0,2012-13,45,8,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20079,0
1/1/13,Jump Shot,Jump Shot,347,21200463,34.0183,-150,26,-118.4198,5,3,0,2012-13,18,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20072,1
1/1/13,Jump Shot,Jump Shot,347,21200463,34.0183,-150,26,-118.4198,5,3,0,2012-13,18,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20072,0
1/1/13,Driving Reverse Layup Shot,Layup,484,21200463,34.0433,-19,1,-118.2888,6,4,0,2012-13,13,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20078,1
1/1/13,Driving Reverse Layup Shot,Layup,484,21200463,34.0433,-19,1,-118.2888,6,4,0,2012-13,13,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20078,0
1/1/13,Floating Jump shot,Jump Shot,512,21200463,34.0103,-16,34,-118.2858,2,4,0,2012-13,37,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20081,1
1/1/13,Floating Jump shot,Jump Shot,512,21200463,34.0103,-16,34,-118.2858,2,4,0,2012-13,37,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20081,0
1/1/13,Jump Shot,Jump Shot,515,21200463,33.9833,61,61,-118.2088,2,4,0,2012-13,8,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20082,1
1/1/13,Jump Shot,Jump Shot,515,21200463,33.9833,61,61,-118.2088,2,4,0,2012-13,8,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20082,0
1/1/13,Jump Shot,Jump Shot,509,21200463,33.8273,111,217,-118.1588,3,4,0,2012-13,16,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20080,1
1/1/13,Jump Shot,Jump Shot,509,21200463,33.8273,111,217,-118.1588,3,4,0,2012-13,16,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20080,0
1/1/13,Driving Reverse Layup Shot,Layup,125,21200463,34.0493,-19,-5,-118.2888,0,1,0,2012-13,6,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. PHI,PHI,20063,1
